,Unnamed: 0,product_name,max_capacity,link,type,format,interface,released,released_normalized,max_capacity_GB,controller,dram,Interface,Type,Technology,Read Time (tR),Program Time (tProg),Die Read Speed,Die Write Speed,Sequential Read,Sequential Write,Random Read,Random Write
44,44,Longsys FORESEE ORCA 4836 Max ,6 TB,https://www.techpowerup.com/ssd-specs/longsys-foresee-orca-4836-max-1-6-tb.d1835,TLC,U.2,PCIe 4.0 x4,23-Jan,1/1/2023,6000,NVMe3108,Unknown,NotFound,NotFound,NotFound,NotFound,NotFound,NotFound,NotFound,NotFound,NotFound,NotFound,NotFound
45,45,Longsys FORESEE ORCA 4836 Pro ,7.5 TB,https://www.techpowerup.com/ssd-specs/longsys-foresee-orca-4836-pro-1-9-tb.d1833,TLC,U.2,PCIe 4.0 x4,23-Jan,1/1/2023,7500,NVMe3108,Unknown,NotFound,NotFound,NotFound,NotFound,NotFound,NotFound,NotFound,NotFound,NotFound,NotFound,NotFound
46,46,Micron 9400 Max ,26 TB,https://www.techpowerup.com/ssd-specs/micron-9400-max-13-tb.d1498,TLC,U.3,PCIe 4.0 x4,23-Jan,1/1/2023,26000,NVMe 3016,18432 MB,PCIe 4.0 x4,TLC,176-layer,56 µs,502 µs,1143 MB/s,127 MB/s,"7,000 MB/s","7,000 MB/s","1,600,000 IOPS","600,000 IOPS"
47,47,Micron 9400 Pro ,31 TB,https://www.techpowerup.com/ssd-specs/micron-9400-pro-7-5-tb.d1320,TLC,U.3,PCIe 4.0 x4,23-Jan,1/1/2023,31000,NVMe 3016,Unknown,PCIe 4.0 x4,TLC,176-layer,56 µs,502 µs,1143 MB/s,127 MB/s,"7,000 MB/s","7,000 MB/s","1,600,000 IOPS","300,000 IOPS"
48,48,Kingston DC600M ,7.5 TB,https://www.techpowerup.com/ssd-specs/kingston-dc600m-960-gb.d2052,TLC,"2.5""",SATA 6 Gbps,23-May,5/1/2023,7500,Phison S12DC,2048 MB,SATA 6 Gbps,TLC,112-layer,56 µs,484 µs,571 MB/s,66 MB/s,560 MB/s,530 MB/s,"94,000 IOPS","65,000 IOPS"
49,49,Solidigm D7-P5430 ,15 TB,https://www.techpowerup.com/ssd-specs/solidigm-d7-p5430-15-tb.d1675,pQLC (PLC),U.2,PCIe 4.0 x4,23-May,5/1/2023,15000,Unknown,20480 MB,PCIe 4.0 x4,pQLC (PLC),192-layer,110 µs,1400 µs,582 MB/s,46 MB/s,"7,000 MB/s","3,000 MB/s","935,000 IOPS","120,000 IOPS"
50,50,Solidigm D5-P5336 ,61 TB,https://www.techpowerup.com/ssd-specs/solidigm-d5-p5336-7-5-tb.d1566,pQLC (PLC),U.2,PCIe 4.0 x4,23-Jul,7/1/2023,61000,SLNQG,Unknown,NotFound,NotFound,NotFound,NotFound,NotFound,NotFound,NotFound,NotFound,NotFound,NotFound,NotFound
51,51,Memblaze P7946 ,6 TB,https://www.techpowerup.com/ssd-specs/memblaze-p7946-6-tb.d1582,TLC,U.2,PCIe 5.0 x4,2023,7/2/2023,6000,Bravera,Unknown,PCIe 5.0 x4,TLC,232-layer,NotFound,NotFound,NotFound,NotFound,"14,000 MB/s","10,000 MB/s","2,800,000 IOPS","650,000 IOPS"
52,52,Union Memory UH711a ,7.5 TB,https://www.techpowerup.com/ssd-specs/union-memory-uh711a-1-9-tb.d1804,TLC,U.2,PCIe 4.0 x4,2023,7/2/2023,7500,Phoenix 8020,Unknown,PCIe 4.0 x4,TLC,128-layer,50 µs,620 µs,1280 MB/s,70 MB/s,"7,200 MB/s","2,600 MB/s","900,000 IOPS","160,000 IOPS"
53,53,FlumeIO F5900 ,15 TB,https://www.techpowerup.com/ssd-specs/flumeio-f5900-3-8-tb.d2138,TLC,U.2,PCIe 5.0 x4,23-Aug,8/1/2023,15000,Bravera,5120 MB,NotFound,NotFound,NotFound,NotFound,NotFound,NotFound,NotFound,NotFound,NotFound,NotFound,NotFound
54,54,FlumeIO F5901 ,13 TB,https://www.techpowerup.com/ssd-specs/flumeio-f5901-3-tb.d2026,TLC,U.2,PCIe 5.0 x4,23-Aug,8/1/2023,13000,Bravera,5120 MB,PCIe 5.0 x4,TLC,232-layer,NotFound,NotFound,NotFound,NotFound,"14,000 MB/s","10,000 MB/s","2,600,000 IOPS","550,000 IOPS"
55,55,Memblaze PBlaze7 7940 ,31 TB,https://www.techpowerup.com/ssd-specs/memblaze-pblaze7-7940-3-8-tb.d1592,TLC,U.2,PCIe 5.0 x4,23-Aug,8/1/2023,31000,Bravera,Unknown,PCIe 5.0 x4,TLC,232-layer,NotFound,NotFound,NotFound,NotFound,"14,000 MB/s","10,000 MB/s","2,800,000 IOPS","400,000 IOPS"
56,56,Solidigm D7-P5810 ,800 GB,https://www.techpowerup.com/ssd-specs/solidigm-d7-p5810-800-gb.d1674,pSLC,U.2,PCIe 4.0 x4,23-Sep,9/1/2023,800,SLNBX,Unknown,NotFound,NotFound,NotFound,NotFound,NotFound,NotFound,NotFound,NotFound,NotFound,NotFound,NotFound
57,57,Phison Pascari X200E ,26 TB,https://www.techpowerup.com/ssd-specs/phison-pascari-x200e-1-6-tb.d2017,TLC,U.2,PCIe 5.0 x4,24-Mar,3/1/2024,26000,Phison X2,Unknown,NotFound,NotFound,NotFound,NotFound,NotFound,NotFound,NotFound,NotFound,NotFound,NotFound,NotFound
58,58,Phison Pascari X200P ,31 TB,https://www.techpowerup.com/ssd-specs/phison-pascari-x200p-1-9-tb.d2008,TLC,U.2,PCIe 5.0 x4,24-Mar,3/1/2024,31000,Phison X2,Unknown,NotFound,NotFound,NotFound,NotFound,NotFound,NotFound,NotFound,NotFound,NotFound,NotFound,NotFound
59,59,Samsung BM1743 ,61 TB,https://www.techpowerup.com/ssd-specs/samsung-bm1743-61-tb.d2119,QLC,U.2,PCIe 5.0 x4,24-Jul,7/1/2024,61000,Samsung ELAN,Unknown,NotFound,NotFound,NotFound,NotFound,NotFound,NotFound,NotFound,NotFound,NotFound,NotFound,NotFound
60,60,Kingston DC2000B ,960 GB,https://www.techpowerup.com/ssd-specs/kingston-dc2000b-960-gb.d2165,TLC,M.2 2280,PCIe 4.0 x4,24-Aug,8/1/2024,960,Phison E18DC,Unknown,PCIe 4.0 x4,TLC,112-layer,56 µs,NotFound,NotFound,NotFound,"7,000 MB/s","1,300 MB/s","540,000 IOPS","47,000 IOPS"
61,61,ScaleFlux CSD 5510 ,15 TB,https://www.techpowerup.com/ssd-specs/scaleflux-csd-5510-3-8-tb.d2143,TLC,U.2,PCIe 5.0 x4,24-Aug,8/1/2024,15000,FX5016,Unknown,PCIe 5.0 x4,TLC,176-layer,NotFound,492 µs,NotFound,130 MB/s,"14,000 MB/s","11,000 MB/s","3,200,000 IOPS","430,000 IOPS"
62,62,ScaleFlux CSD 5520 ,13 TB,https://www.techpowerup.com/ssd-specs/scaleflux-csd-5520-3-tb.d2140,TLC,U.2,PCIe 5.0 x4,24-Aug,8/1/2024,13000,FX5016,Unknown,NotFound,NotFound,NotFound,NotFound,NotFound,NotFound,NotFound,NotFound,NotFound,NotFound,NotFound
63,63,Solidigm D7-PS1010 ,15 TB,https://www.techpowerup.com/ssd-specs/solidigm-d7-ps1010-1-9-tb.d2148,TLC,U.2,PCIe 5.0 x4,24-Aug,8/1/2024,15000,Atomos Prime,Unknown,NotFound,NotFound,NotFound,NotFound,NotFound,NotFound,NotFound,NotFound,NotFound,NotFound,NotFound
64,64,Solidigm D7-PS1030 ,13 TB,https://www.techpowerup.com/ssd-specs/solidigm-d7-ps1030-1-6-tb.d2149,TLC,U.2,PCIe 5.0 x4,24-Aug,8/1/2024,13000,Atomos Prime,Unknown,NotFound,NotFound,NotFound,NotFound,NotFound,NotFound,NotFound,NotFound,NotFound,NotFound,NotFound
65,65,DapuStor Roealsen5 R5110 (Kioxia BiCS4 eTLC),3.8 TB,https://www.techpowerup.com/ssd-specs/dapustor-roealsen5-r5110-3-8-tb.d1659,TLC,Add-In Card,PCIe 4.0 x8,Unknown,,3800,DP616,Unknown,PCIe 4.0 x8,TLC,96-layer,58 µs,561 µs,551 MB/s,57 MB/s,"9,600 MB/s","5,200 MB/s","1,720,000 IOPS","270,000 IOPS"
66,66,DapuStor Roealsen5 R5110 (Kioxia BiCS5 eTLC),7.5 TB,https://www.techpowerup.com/ssd-specs/dapustor-roealsen5-r5110-7-5-tb.d1660,TLC,Add-In Card,PCIe 4.0 x8,Unknown,,7500,DP616,Unknown,PCIe 4.0 x8,TLC,112-layer,56 µs,484 µs,571 MB/s,66 MB/s,"12,700 MB/s","5,900 MB/s","1,850,000 IOPS","300,000 IOPS"
67,67,DapuStor Roealsen5 R5310 (Kioxia BiCS4 eTLC),3 TB,https://www.techpowerup.com/ssd-specs/dapustor-roealsen5-r5310-3-tb.d1661,TLC,Add-In Card,PCIe 4.0 x8,Unknown,,3000,DP616,Unknown,NotFound,NotFound,NotFound,NotFound,NotFound,NotFound,NotFound,NotFound,NotFound,NotFound,NotFound
68,68,DapuStor Roealsen5 R5310 (Kioxia BiCS5 eTLC),6 TB,https://www.techpowerup.com/ssd-specs/dapustor-roealsen5-r5310-6-tb.d1662,TLC,Add-In Card,PCIe 4.0 x8,Unknown,,6000,DP616,Unknown,NotFound,NotFound,NotFound,NotFound,NotFound,NotFound,NotFound,NotFound,NotFound,NotFound,NotFound
69,69,Dera D7436 ,15 TB,https://www.techpowerup.com/ssd-specs/dera-d7436-1-9-tb.d1688,TLC,U.2,PCIe 4.0 x4,Unknown,,15000,EMEI,Unknown,PCIe 4.0 x4,TLC,128-layer,50 µs,620 µs,1280 MB/s,70 MB/s,"7,100 MB/s","4,800 MB/s","1,600,000 IOPS","270,000 IOPS"
70,70,Dera D7456 ,13 TB,https://www.techpowerup.com/ssd-specs/dera-d7456-1-6-tb.d1692,TLC,U.2,PCIe 4.0 x4,Unknown,,13000,EMEI,Unknown,PCIe 4.0 x4,TLC,128-layer,50 µs,620 µs,1280 MB/s,70 MB/s,"7,100 MB/s","4,800 MB/s","1,600,000 IOPS","520,000 IOPS"
71,71,Memblaze PBlaze5 D510 ,3.8 TB,https://www.techpowerup.com/ssd-specs/memblaze-pblaze5-d510-1-9-tb.d1830,TLC,U.2,PCIe 3.0 x4,Unknown,,3800,PM8632A1-F3EI,2048 MB,NotFound,NotFound,NotFound,NotFound,NotFound,NotFound,NotFound,NotFound,NotFound,NotFound,NotFound
